Museum_Name,Address,City,State,PIN_Code,Opening_Hours,Closing_Hours,Contact_Email,Phone_Number,Full_Address,Latitude,Longitude
Sarnath Archaeological Museum,Sarnath,Varanasi,Uttar Pradesh,221007,10:00 AM,5:00 PM,sarnathmuseum@asi.gov.in,+91-542-2595151,"Sarnath, Varanasi, Uttar Pradesh, 221007",25.3715564,83.0252136
Manikya Court Museum,Palace Compound,Agartala,Tripura,799001,10:00 AM,5:00 PM,manikyamuseumtripura@gmail.com,+91-381-2226704,"Palace Compound, Agartala, Tripura, 799001",23.8368023,91.2830851
Tribal Museum Bhopal,Shyamla Hills,Bhopal,Madhya Pradesh,462002,10:30 AM,6:30 PM,tribalmuseumbhopal@gmail.com,+91-755-2661392,"Shyamla Hills, Bhopal, Madhya Pradesh, 462002",23.2411328,77.3776099
Meghalaya State Museum,State Central Library,Shillong,Meghalaya,793001,10:00 AM,4:30 PM,msmuseum@meghalaya.gov.in,+91-364-2226220,"State Central Library, Shillong, Meghalaya, 793001",25.5690676,91.88309690000001
Sudha Cars Museum,Bahadurpura,Hyderabad,Telangana,500064,10:00 AM,6:00 PM,sudhacars@gmail.com,+91-40-24447365,"Bahadurpura, Hyderabad, Telangana, 500064",17.3574259,78.4616959
Vikram Sarabhai Space Exhibition,Space Application Centre,Ahmedabad,Gujarat,380015,9:30 AM,5:00 PM,vssc.museum@isro.gov.in,+91-79-26914127,"Space Application Centre, Ahmedabad, Gujarat, 380015",23.0276164,72.5191164
Coin Museum,Hinjawadi,Pune,Maharashtra,411057,10:00 AM,5:30 PM,coinmuseum@gmail.com,+91-20-66841510,"Hinjawadi, Pune, Maharashtra, 411057",18.5912716,73.73890899999999
Sikkim Himalayan Zoological Park,Bulbulay,Gangtok,Sikkim,737103,9:00 AM,4:00 PM,shzp.gangtok@gmail.com,+91-3592-231784,"Bulbulay, Gangtok, Sikkim, 737103",27.3433324,88.6210394
Leh Palace Museum,Leh Palace,Leh,Ladakh,194101,10:00 AM,5:00 PM,lehpalacemuseum@gmail.com,+91-1982-252253,"Leh Palace, Leh, Ladakh, 194101",34.1660308,77.5871575
DakshinaChitra Museum,East Coast Road,Muttukadu,Tamil Nadu,603112,10:00 AM,6:00 PM,info@dakshinachitra.net,+91-44-27472603,"East Coast Road, Muttukadu, Tamil Nadu, 603112",12.8234439,80.240218
Nagaland State Museum,Ministers' Hill,Kohima,Nagaland,797001,10:00 AM,4:00 PM,nagalandstatemuseum@gmail.com,+91-370-2270194,"Ministers' Hill, Kohima, Nagaland, 797001",25.6551717,94.09574289999999
St. Angelo Fort Museum,Kannur Fort,Kannur,Kerala,670017,9:00 AM,5:00 PM,stangelomuseum@asi.gov.in,+91-497-2732578,"Kannur Fort, Kannur, Kerala, 670017",11.8537793,75.372439
Tribal Research Institute Museum,Near Airport,Imphal,Manipur,795001,10:00 AM,4:30 PM,trimuseum.manipur@gmail.com,+91-385-2457243,"Near Airport, Imphal, Manipur, 795001",24.8105975,93.9346206
Mizoram State Museum,Zarkawt,Aizawl,Mizoram,796001,10:00 AM,4:30 PM,mizoramstatemuseum@gmail.com,+91-389-2316091,"Zarkawt, Aizawl, Mizoram, 796001",23.7358192,92.7164081
Yercaud Silk Farm and Museum,Lake Road,Yercaud,Tamil Nadu,636601,9:00 AM,6:00 PM,silkfarmyercaud@gmail.com,+91-4281-222042,"Lake Road, Yercaud, Tamil Nadu, 636601",11.7811522,78.2089648
Tejas Museum,Manipal Centre for Philosophy,Manipal,Karnataka,576104,10:00 AM,5:00 PM,tejasmuseum@gmail.com,+91-820-2922505,"Manipal Centre for Philosophy, Manipal, Karnataka, 576104",13.3394183,74.7496053
Indian Air Force Museum,Palam,New Delhi,Delhi,110010,10:00 AM,5:00 PM,iafmuseum@gmail.com,+91-11-25694241,"Palam, New Delhi, Delhi, 110010",28.5780718,77.1065784
Alleppey Lighthouse Museum,Beach Road,Alappuzha,Kerala,688013,10:00 AM,5:00 PM,alleppeylighthouse@gmail.com,+91-477-2246364,"Beach Road, Alappuzha, Kerala, 688013",9.4873674,76.3198975
Madhya Pradesh Tribal Museum,Shyamla Hills,Bhopal,Madhya Pradesh,462013,12:00 PM,8:00 PM,mptribalmuseum@mp.gov.in,+91-755-2661392,"Shyamla Hills, Bhopal, Madhya Pradesh, 462013",23.2349128,77.3826845
Archaeological Museum Amaravati,Amaravati,Guntur,Andhra Pradesh,522020,10:00 AM,5:00 PM,amaravatimuseum@asi.gov.in,+91-863-2227752,"Amaravati, Guntur, Andhra Pradesh, 522020",16.5582809,80.3547286
Arunachal State Museum,Rajbhawan Road,Itanagar,Arunachal Pradesh,791113,9:30 AM,4:00 PM,arunachalmuseum@gmail.com,+91-360-2290302,"Rajbhawan Road, Itanagar, Arunachal Pradesh, 791113",27.1014155,93.6369716
Clay Craft Museum,Navi Mumbai,Mumbai,Maharashtra,400708,11:00 AM,7:00 PM,claycraftmuseum@gmail.com,+91-22-27812111,"Navi Mumbai, Mumbai, Maharashtra, 400708",19.1647401,72.99366599999999
Delhi Haat Crafts Museum,INA Market,New Delhi,Delhi,110023,11:00 AM,9:00 PM,delhihaatarts@gmail.com,+91-11-24109550,"INA Market, New Delhi, Delhi, 110023",28.5744644,77.2101563
Gondal Royal Garages Vintage Car Museum,Orchard Palace,Gondal,Gujarat,360311,9:00 AM,6:00 PM,vintagecars@gondal.in,+91-2825-220002,"Orchard Palace, Gondal, Gujarat, 360311",21.964267,70.7944055
Himachal Emporium and Museum,Mall Road,Shimla,Himachal Pradesh,171001,10:00 AM,8:00 PM,himachalemporium@gmail.com,+91-177-2652561,"Mall Road, Shimla, Himachal Pradesh, 171001",31.0988903,77.1756199
Jnanpith Museum,Kamaraj Road,Bangalore,Karnataka,560042,10:30 AM,5:30 PM,jnanpithmuseum@gmail.com,+91-80-25322650,"Kamaraj Road, Bangalore, Karnataka, 560042",12.9830953,77.6106477
Eastern Frontier Rifles Museum,Salua,West Midnapore,West Bengal,721143,9:00 AM,5:00 PM,efrmuseum@gmail.com,+91-3222-275291,"Salua, West Midnapore, West Bengal, 721143",22.2695028,87.2866995
Lado Sarai Art District,Lado Sarai,New Delhi,Delhi,110030,11:00 AM,7:00 PM,ladosaraiart@gmail.com,+91-11-47537193,"Lado Sarai, New Delhi, Delhi, 110030",28.5259604,77.19701350000001
Madhavendra Palace Sculpture Museum,Nahargarh Fort,Jaipur,Rajasthan,302002,10:00 AM,5:30 PM,nahargarh.sculpturepark@gmail.com,+91-141-5115421,"Nahargarh Fort, Jaipur, Rajasthan, 302002",26.9401659,75.8170373
National Gallery of Modern Art Bengaluru,Manikyavelu Mansion,Bangalore,Karnataka,560001,10:00 AM,5:00 PM,ngmabengaluru@gmail.com,+91-80-22201027,"Manikyavelu Mansion, Bangalore, Karnataka, 560001",12.9765944,77.5992708
Kolkata Police Museum,Acharya Jagadish Chandra Bose Road,Kolkata,West Bengal,700016,11:00 AM,5:00 PM,kolkatapolicemuseum@gmail.com,+91-33-22140294,"Acharya Jagadish Chandra Bose Road, Kolkata, West Bengal, 700016",22.5509368,88.3630792
Siddhachal Jain Temple Museum,Siddhagirinagar,Kolhapur,Maharashtra,416012,9:00 AM,5:30 PM,siddhachaljain@gmail.com,+91-231-2688022,"Siddhagirinagar, Kolhapur, Maharashtra, 416012",16.6882095,74.2196555
INS Kurusura Submarine Museum,Beach Road,Visakhapatnam,Andhra Pradesh,530001,9:00 AM,8:00 PM,kurusuramuseum@gmail.com,+91-891-2752295,"Beach Road, Visakhapatnam, Andhra Pradesh, 530001",17.6983535,83.3002925
Railway Heritage Museum,Howrah Station,Kolkata,West Bengal,711101,10:00 AM,5:00 PM,railwaymuseum.er@gmail.com,+91-33-26411767,"Howrah Station, Kolkata, West Bengal, 711101",22.5839456,88.3434068
Ahom Museum,Gargaon Palace Complex,Sivasagar,Assam,785640,9:30 AM,4:30 PM,ahommuseum@gmail.com,+91-3772-222420,"Gargaon Palace Complex, Sivasagar, Assam, 785640",26.989087,94.63942399999999
Big Foot Museum,Big Foot Cross Road,Loutolim,Goa,403718,9:00 AM,5:30 PM,bigfootgoa@gmail.com,+91-832-2777034,"Big Foot Cross Road, Loutolim, Goa, 403718",15.339727,73.9868803
Aryabhatta Science Museum,Gandhi Maidan,Patna,Bihar,800001,10:00 AM,6:00 PM,sciencemuseumpatna@gmail.com,+91-612-2219726,"Gandhi Maidan, Patna, Bihar, 800001",25.6175504,85.14511019999999
Nehru Centre Planetarium,Dr. Annie Besant Road,Mumbai,Maharashtra,400018,10:30 AM,5:30 PM,planetarium@nehru-centre.org,+91-22-24964676,"Dr. Annie Besant Road, Mumbai, Maharashtra, 400018",18.9967949,72.8164053
Agartala Science Centre,Ramnagar,Agartala,Tripura,799002,10:00 AM,5:00 PM,agartalascience@gmail.com,+91-381-2326018,"Ramnagar, Agartala, Tripura, 799002",23.8444054,91.2626287
Wax Museum,Highway 49A,Kodaikanal,Tamil Nadu,624101,9:00 AM,6:00 PM,waxkodai@gmail.com,+91-4542-240561,"Highway 49A, Kodaikanal, Tamil Nadu, 624101",10.2391086,77.4977456
Arunachal Pradesh Orchid Research Centre Museum,Tipi,West Kameng,Arunachal Pradesh,790114,8:30 AM,4:30 PM,orchidmuseumap@gmail.com,+91-3782-236579,"Tipi, West Kameng, Arunachal Pradesh, 790114",27.1012051,92.5816294
Kannur Folklore Museum,Chirakkal,Kannur,Kerala,670011,9:30 AM,5:00 PM,kannurfolklore@gmail.com,+91-497-2778364,"Chirakkal, Kannur, Kerala, 670011",11.9153008,75.3617622
Uttarakhand State Museum,Ghantaghar,Dehradun,Uttarakhand,248001,10:00 AM,5:00 PM,uttarakhandmuseum@gmail.com,+91-135-2714402,"Ghantaghar, Dehradun, Uttarakhand, 248001",30.3244257,78.0418333
Lachit Borphukan Museum,Jorhat Road,Sivasagar,Assam,785640,10:00 AM,5:00 PM,lachitmuseum@gmail.com,+91-3772-230922,"Jorhat Road, Sivasagar, Assam, 785640",26.989087,94.63942399999999
Freedom Fighters Museum,Hyderabad Central University Road,Hyderabad,Telangana,500046,10:30 AM,5:00 PM,ffmuseum.telangana@gmail.com,+91-40-23011086,"Hyderabad Central University Road, Hyderabad, Telangana, 500046",17.4559838,78.3331859
Roerich Art Gallery,Naggar Castle,Kullu,Himachal Pradesh,175130,9:00 AM,5:00 PM,roerichgallery@gmail.com,+91-1902-248290,"Naggar Castle, Kullu, Himachal Pradesh, 175130",32.1120178,77.1647347
Archaeological Museum Gwalior,Fort Road,Gwalior,Madhya Pradesh,474001,10:00 AM,5:00 PM,gwaliormuseum@asi.gov.in,+91-751-2233234,"Fort Road, Gwalior, Madhya Pradesh, 474001",26.2230561,78.1720117
Shri Bhavani Museum and Library,Aundh,Pune,Maharashtra,411067,10:30 AM,5:30 PM,bhavanimuseum@gmail.com,+91-20-25884179,"Aundh, Pune, Maharashtra, 411067",18.5525284,73.8093359
Museum of the National Movement,Karikkamuri,Kochi,Kerala,682011,9:30 AM,4:30 PM,nationalmovement@gmail.com,+91-484-2382988,"Karikkamuri, Kochi, Kerala, 682011",9.975587299999999,76.2877353
Kanha Museum of Life and Art,Jabalpur Road,Mandla,Madhya Pradesh,481661,9:00 AM,5:30 PM,kanhamuseum@gmail.com,+91-7642-252135,"Jabalpur Road, Mandla, Madhya Pradesh, 481661",23.4144597,79.5247289
Clock Tower Museum,Clock Tower Circle,Jodhpur,Rajasthan,342001,9:30 AM,5:30 PM,jodhpurclockmuseum@gmail.com,+91-291-2547661,"Clock Tower Circle, Jodhpur, Rajasthan, 342001",26.294003,73.0235298
Bengal Science Centre,J. B. S. Haldane Avenue,Kolkata,West Bengal,700046,9:30 AM,5:30 PM,bengalsciencecentre@gmail.com,+91-33-24647030,"J. B. S. Haldane Avenue, Kolkata, West Bengal, 700046",22.5416112,88.3850803
Regional Science Centre,P.B. No. 1201,Tirunelveli,Tamil Nadu,627001,10:00 AM,5:30 PM,rsctirunelveli@gmail.com,+91-462-2554343,"P.B. No. 1201, Tirunelveli, Tamil Nadu, 627001",8.7340096,77.712099
Science City Kapurthala,Jalandhar Road,Kapurthala,Punjab,144601,9:00 AM,5:00 PM,sciencecitykapurthala@gmail.com,+91-1822-501963,"Jalandhar Road, Kapurthala, Punjab, 144601",31.3697019,75.4080482
Namgyal Institute of Tibetology,Gangtok,Gangtok,Sikkim,737101,10:00 AM,4:00 PM,namgyalinstitute@gmail.com,+91-3592-231102,"Gangtok, Gangtok, Sikkim, 737101",27.3371364,88.6096575
Heritage Museum Bikaner,Junagarh Fort,Bikaner,Rajasthan,334001,9:00 AM,6:00 PM,junagarh.museum@gmail.com,+91-151-2522008,"Junagarh Fort, Bikaner, Rajasthan, 334001",28.0219586,73.3179962
Shreyas Folk Museum,Near Shreyas Foundation,Ahmedabad,Gujarat,380007,9:00 AM,5:00 PM,shreyasmuseum@gmail.com,+91-79-26822376,"Near Shreyas Foundation, Ahmedabad, Gujarat, 380007",23.0143641,72.53993760000002
Ahmedabad Textile Industry's Research Association Museum,University Area,Ahmedabad,Gujarat,380009,10:30 AM,5:30 PM,atiramuseum@gmail.com,+91-79-26302364,"University Area, Ahmedabad, Gujarat, 380009",23.0353884,72.54439409999999
Archaeology Museum Purana Qila,Mathura Road,New Delhi,Delhi,110003,9:00 AM,5:00 PM,puranakilamuseum@asi.gov.in,+91-11-23367436,"Mathura Road, New Delhi, Delhi, 110003",28.5882791,77.2470092
Jagat Guru Dattatreya Museum,Ashram Road,Sangli,Maharashtra,416416,10:00 AM,8:00 PM,dattatreyamuseum@gmail.com,+91-233-2671360,"Ashram Road, Sangli, Maharashtra, 416416",16.8619069,74.5610703
Kota Government Museum,Chhatrapati Shivaji Marg,Kota,Rajasthan,324001,9:30 AM,5:00 PM,kotagovtmuseum@gmail.com,+91-744-2327756,"Chhatrapati Shivaji Marg, Kota, Rajasthan, 324001",25.172275,75.8903723
Gandhi Darshan Museum,Rajghat,New Delhi,Delhi,110002,10:00 AM,5:00 PM,gandhidarshan@gandhi-india.org,+91-11-23311793,"Rajghat, New Delhi, Delhi, 110002",28.6406214,77.24950020000001
Kaziranga Forest Museum,National Highway 37,Kaziranga,Assam,785609,9:00 AM,4:30 PM,kazirangamuseum@gmail.com,+91-3776-262428,"National Highway 37, Kaziranga, Assam, 785609",24.8097986,93.086778
Pitambar Dev Goswami Museum,Majuli Island,Majuli,Assam,785104,10:00 AM,5:00 PM,pitambarmuseum@gmail.com,+91-3775-279026,"Majuli Island, Majuli, Assam, 785104",26.9931249,94.21283369999999
Dakshinachitra Heritage Museum,East Coast Road,Chennai,Tamil Nadu,603112,10:00 AM,6:00 PM,info@dakshinachitra.net,+91-44-27472603,"East Coast Road, Chennai, Tamil Nadu, 603112",12.8053365,80.2428836
Jaigarh Fort Museum,Jaipur-Amer Road,Jaipur,Rajasthan,302028,9:00 AM,6:00 PM,jaigarhfortmuseum@gmail.com,+91-141-2671848,"Jaipur-Amer Road, Jaipur, Rajasthan, 302028",26.9643199,75.8467207
Maharaja Sawai Madho Singh Museum,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,10:00 AM,5:00 PM,madhosinghmuseum@gmail.com,+91-7462-220808,"Sawai Madhopur, Sawai Madhopur, Rajasthan, 322001",26.012373,76.3560109
Delhi Art Gallery,Hauz Khas Village,New Delhi,Delhi,110016,11:00 AM,7:00 PM,info@delhiartgallery.com,+91-11-46791111,"Hauz Khas Village, New Delhi, Delhi, 110016",28.5533997,77.1941654
Ethnological Museum Shillong,Rynjah,Shillong,Meghalaya,793006,10:00 AM,4:30 PM,anthromuseum.shillong@gmail.com,+91-364-2224396,"Rynjah, Shillong, Meghalaya, 793006",25.5712123,91.91297709999999
National Children's Discovery Museum,Nehru Place,New Delhi,Delhi,110019,10:00 AM,6:00 PM,discovermuseum@gmail.com,+91-11-41421441,"Nehru Place, New Delhi, Delhi, 110019",28.5503314,77.2501893
Siddhivinayak Temple Museum,Prabhadevi,Mumbai,Maharashtra,400028,10:00 AM,6:00 PM,siddhivinayakmuseum@gmail.com,+91-22-24373626,"Prabhadevi, Mumbai, Maharashtra, 400028",19.0163283,72.8291129
Lalbhai Dalpatbhai Museum,L.D. Institute Campus,Ahmedabad,Gujarat,380009,10:30 AM,5:30 PM,ldmuseum1956@gmail.com,+91-79-26306883,"L.D. Institute Campus, Ahmedabad, Gujarat, 380009",23.0335586,72.5500497
Chhatrapati Shivaji Terminus Heritage Museum,D. N. Road,Mumbai,Maharashtra,400001,9:00 AM,5:00 PM,cstheritage@gmail.com,+91-22-22620062,"D. N. Road, Mumbai, Maharashtra, 400001",18.9401591,72.8347847
Ladakh Art and Media Organisation Gallery,Leh Main Market,Leh,Ladakh,194101,10:00 AM,6:00 PM,lamoleh@gmail.com,+91-1982-253254,"Leh Main Market, Leh, Ladakh, 194101",34.1635959,77.5839192
Birla Science Museum and Planetarium,Hill Fort Road,Hyderabad,Telangana,500004,10:30 AM,8:00 PM,info@birlamuseum.com,+91-40-23235081,"Hill Fort Road, Hyderabad, Telangana, 500004",17.4043861,78.4724227
Dhakeshwari Textile Museum,Silk City,Sualkuchi,Assam,781103,9:30 AM,5:00 PM,dhakeshwarimuseum@gmail.com,+91-361-2786329,"Silk City, Sualkuchi, Assam, 781103",26.1965373,91.5791081
Rakigarhi Archaeological Museum,Rakigarhi Village,Hisar,Haryana,125121,10:00 AM,5:00 PM,rakigarhimuseum@asi.gov.in,+91-1662-275226,"Rakigarhi Village, Hisar, Haryana, 125121",29.2881189,76.11314949999999
Karunashraya Museum of Palliative Care,Marathahalli,Bangalore,Karnataka,560037,10:00 AM,4:00 PM,karunashrayamuseum@gmail.com,+91-80-28477638,"Marathahalli, Bangalore, Karnataka, 560037",12.956924,77.701127
State Archaeology Museum Chennai,Egmore,Chennai,Tamil Nadu,600008,9:30 AM,5:00 PM,archeomuseum.tn@gmail.com,+91-44-28195587,"Egmore, Chennai, Tamil Nadu, 600008",13.0732259,80.2609209
Palace on Wheels Museum,Railway Station,Jaipur,Rajasthan,302006,9:00 AM,4:30 PM,palaceonwheelsmuseum@gmail.com,+91-141-2200829,"Railway Station, Jaipur, Rajasthan, 302006",26.9195875,75.78796080000001
Regional Museum of Natural History,Forest Department Campus,Bhubaneswar,Odisha,751003,10:00 AM,5:30 PM,rmnh.bhubaneswar@gmail.com,+91-674-2314825,"Forest Department Campus, Bhubaneswar, Odisha, 751003",20.281174,85.78084779999999
Heritage & Architecture Museum,Civil Lines,Allahabad,Uttar Pradesh,211001,10:30 AM,5:00 PM,heritagearchmuseum@gmail.com,+91-532-2260494,"Civil Lines, Allahabad, Uttar Pradesh, 211001",25.4529334,81.8348882
Asiatic Society Museum,Town Hall,Mumbai,Maharashtra,400023,10:00 AM,5:00 PM,asiaticmuseum@gmail.com,+91-22-22660956,"Town Hall, Mumbai, Maharashtra, 400023",18.9321357,72.8322961
Orissa Crafts Museum,Toshali Plaza,Bhubaneswar,Odisha,751007,9:30 AM,6:00 PM,orissacraftsmuseum@gmail.com,+91-674-2536825,"Toshali Plaza, Bhubaneswar, Odisha, 751007",20.2813151,85.8490846
Regional Science Centre Guwahati,G.N.B. Road,Guwahati,Assam,781003,10:00 AM,5:30 PM,rscguwahati@gmail.com,+91-361-2452085,"G.N.B. Road, Guwahati, Assam, 781003",26.1851026,91.760066
Maharaja Fatesingh Museum,Moti Bagh Palace,Vadodara,Gujarat,390001,10:30 AM,5:30 PM,fatesinghmuseum@gmail.com,+91-265-2793328,"Moti Bagh Palace, Vadodara, Gujarat, 390001",22.2899055,73.19435399999999
Jantar Mantar,Connaught Place,New Delhi,Delhi,110001,9:00 AM,5:30 PM,jantarmantar.delhi@gmail.com,+91-11-23366396,"Connaught Place, New Delhi, Delhi, 110001",28.6304203,77.21772159999999
Madhya Pradesh State Tribal Museum,Shamla Hills,Bhopal,Madhya Pradesh,462013,12:00 PM,8:00 PM,mptribalmuseum@mp.gov.in,+91-755-2661392,"Shamla Hills, Bhopal, Madhya Pradesh, 462013",23.2349128,77.3826845
Mary Bishop Museum,Morgan Road,Kochi,Kerala,682016,9:00 AM,5:30 PM,marybishopmuseum@gmail.com,+91-484-2353234,"Morgan Road, Kochi, Kerala, 682016",9.966688,76.2870113
Xavier Centre of Historical Research Museum,Alto Porvorim,Bardez,Goa,403521,10:00 AM,5:30 PM,xchrmuseum@gmail.com,+91-832-2417772,"Alto Porvorim, Bardez, Goa, 403521",15.5256113,73.8351045
Raja Ravi Varma Heritage Foundation,Palace Road,Thiruvananthapuram,Kerala,695033,10:00 AM,6:00 PM,rrvheritage@gmail.com,+91-471-2478033,"Palace Road, Thiruvananthapuram, Kerala, 695033",8.4815414,76.944447
Rural Heritage Museum,Gurukul Road,Haridwar,Uttarakhand,249401,9:00 AM,6:00 PM,ruralmuseum@gmail.com,+91-1334-260637,"Gurukul Road, Haridwar, Uttarakhand, 249401",29.9266195,78.1023264
Maharaja Agrasen Museum,Model Town,Delhi,Delhi,110009,10:00 AM,5:00 PM,agrasenmuseum@gmail.com,+91-11-27458533,"Model Town, Delhi, Delhi, 110009",28.7095346,77.1887698
Goa Science Centre,Miramar,Panaji,Goa,403001,9:30 AM,5:30 PM,goasciencecentre@gmail.com,+91-832-2463426,"Miramar, Panaji, Goa, 403001",15.4774686,73.8121396
Archaeology Museum Nalanda,Nalanda University Campus,Nalanda,Bihar,803111,9:30 AM,5:00 PM,nalandamuseum@gmail.com,+91-6112-255379,"Nalanda University Campus, Nalanda, Bihar, 803111",25.1378586,85.44627340000001
Anthropological Museum Nagpur,Seminary Hills,Nagpur,Maharashtra,440006,10:30 AM,5:00 PM,anthropology.nagpur@gmail.com,+91-712-2510766,"Seminary Hills, Nagpur, Maharashtra, 440006",21.1631709,79.050381
Kutch Museum,Hamirsar Road,Bhuj,Gujarat,370001,10:00 AM,1:00 PM,kutchmuseum@gmail.com,+91-2832-250444,"Hamirsar Road, Bhuj, Gujarat, 370001",23.2492715,69.6661471
Sawai Madhopur Regional Museum,Civil Lines,Sawai Madhopur,Rajasthan,322201,10:00 AM,4:30 PM,sawaimuseum@gmail.com,+91-7462-220062,"Civil Lines, Sawai Madhopur, Rajasthan, 322201",26.4265576,76.6643728
Hill Palace Museum,Hill Palace Road,Tripunithura,Kerala,682301,9:00 AM,5:00 PM,hillpalacemuseum@gmail.com,+91-484-2781113,"Hill Palace Road, Tripunithura, Kerala, 682301",9.9562299,76.3648769
Nizam Museum,Purani Haveli,Hyderabad,Telangana,500002,10:00 AM,5:00 PM,nizammuseum@gmail.com,+91-40-24523142,"Purani Haveli, Hyderabad, Telangana, 500002",17.3659421,78.48300859999999
Archaeological Museum Chandragiri,Chandragiri Fort,Chandragiri,Andhra Pradesh,517101,9:00 AM,5:30 PM,chandragirimuseum@asi.gov.in,+91-877-2249228,"Chandragiri Fort, Chandragiri, Andhra Pradesh, 517101",13.5830349,79.3053587
Abhinav Kala Mahal,Lake Road,Mount Abu,Rajasthan,307501,10:00 AM,6:00 PM,abhinavkala@gmail.com,+91-2974-235190,"Lake Road, Mount Abu, Rajasthan, 307501",24.5925909,72.7156274
Jyotiba Science Centre,Ramkrishna Road,Dharwad,Karnataka,580004,10:00 AM,5:00 PM,jyotibascience@gmail.com,+91-836-2747829,"Ramkrishna Road, Dharwad, Karnataka, 580004",15.442456,75.0262976
Calcutta Gallery,Cathedral Road,Kolkata,West Bengal,700071,10:30 AM,5:00 PM,calcuttagallery@gmail.com,+91-33-22233187,"Cathedral Road, Kolkata, West Bengal, 700071",22.544365,88.3457643
International Sand Art Museum,Puri Beach,Puri,Odisha,752002,8:00 AM,6:00 PM,sandartmuseum@gmail.com,+91-6752-223366,"Puri Beach, Puri, Odisha, 752002",19.794749,85.8252882
Madhavendra Palace Museum,Amber Fort,Jaipur,Rajasthan,302028,9:30 AM,4:30 PM,madhavendra@gmail.com,+91-141-2530293,"Amber Fort, Jaipur, Rajasthan, 302028",26.9880088,75.861032
Aerospace Museum Bangalore,HAL Old Airport Road,Bangalore,Karnataka,560017,9:00 AM,5:00 PM,halmuseum@gmail.com,+91-80-25227756,"HAL Old Airport Road, Bangalore, Karnataka, 560017",12.9581081,77.6672886
Dhekiakhowa Bornamghar Museum,Jorhat,Jorhat,Assam,785001,9:00 AM,5:00 PM,dhekiakhowamuseum@gmail.com,+91-376-2370221,"Jorhat, Jorhat, Assam, 785001",26.7652207,94.16673399999999
District Archaeological Museum,Collectorate Road,Salem,Tamil Nadu,636001,10:00 AM,5:30 PM,salemarchaeology@gmail.com,+91-427-2447104,"Collectorate Road, Salem, Tamil Nadu, 636001",11.6584423,78.15678919999999
Chittorgarh Fort Museum,Chittorgarh Fort,Chittorgarh,Rajasthan,312001,9:00 AM,6:00 PM,chittorgarhmuseum@gmail.com,+91-1472-240083,"Chittorgarh Fort, Chittorgarh, Rajasthan, 312001",24.8839686,74.6473548
Manipal Museum of Anatomy & Pathology,Manipal University,Manipal,Karnataka,576104,8:30 AM,4:30 PM,anatomymuseum@manipal.edu,+91-820-2922642,"Manipal University, Manipal, Karnataka, 576104",13.3533433,74.78489549999999
Asiatic Society Museum Kolkata,Park Street,Kolkata,West Bengal,700016,10:00 AM,5:00 PM,asiaticmuseumkol@gmail.com,+91-33-22294971,"Park Street, Kolkata, West Bengal, 700016",22.5493063,88.356861
CSIR-National Metallurgical Laboratory Museum,Burmamines,Jamshedpur,Jharkhand,831007,9:30 AM,5:30 PM,nmlmuseum@nmlindia.org,+91-657-2345209,"Burmamines, Jamshedpur, Jharkhand, 831007",22.7724451,86.20906049999999
Chattisgarh Tribal Museum,Kalibari Road,Raipur,Chhattisgarh,492001,10:30 AM,5:30 PM,cgmuseumtribal@gmail.com,+91-771-2254939,"Kalibari Road, Raipur, Chhattisgarh, 492001",21.2337582,81.6390686
Nehru Memorial Museum & Library,Teen Murti House,New Delhi,Delhi,110011,9:00 AM,5:30 PM,director.nmml@gov.in,+91-11-23019165,"Teen Murti House, New Delhi, Delhi, 110011",28.6023097,77.1995558
Archaeological Museum Sarnal,G.T. Road,Malda,West Bengal,732101,10:00 AM,5:00 PM,sarnalmuseum@asi.gov.in,+91-3512-266558,"G.T. Road, Malda, West Bengal, 732101",23.6022688,87.1725227
Amarnath Sehgal Private Museum,Sector 14,Gurgaon,Haryana,122001,11:00 AM,6:00 PM,sehgalmuseum@gmail.com,+91-124-4140134,"Sector 14, Gurgaon, Haryana, 122001",28.4710811,77.0454144
Tamil Nadu Police Museum,Pantheon Road,Chennai,Tamil Nadu,600008,9:00 AM,5:00 PM,tnpolicemuseum@gmail.com,+91-44-28191180,"Pantheon Road, Chennai, Tamil Nadu, 600008",13.0721938,80.2598699
Divya Chakshu Exhibition,Pali District,Mount Abu,Rajasthan,307501,9:30 AM,6:00 PM,divyachakshu@gmail.com,+91-2974-238240,"Pali District, Mount Abu, Rajasthan, 307501",24.5925909,72.7156274
Sultanpur Bird Sanctuary Museum,Sultanpur National Park,Gurugram,Haryana,122006,8:00 AM,6:00 PM,sultanpurmuseum@gmail.com,+91-124-2375242,"Sultanpur National Park, Gurugram, Haryana, 122006",28.4612567,76.89036899999999
ISKCON Heritage Museum,Hare Krishna Hill,Bengaluru,Karnataka,560010,10:00 AM,7:00 PM,iskconmuseum.blr@gmail.com,+91-80-23471956,"Hare Krishna Hill, Bengaluru, Karnataka, 560010",13.02326,77.55337
Northeast Zonal Cultural Centre Museum,Rukminigaon,Guwahati,Assam,781022,10:30 AM,5:00 PM,nezccmuseum@gmail.com,+91-361-2331233,"Rukminigaon, Guwahati, Assam, 781022",26.1361511,91.79683349999999
